bquxjob_50548d7f_198196aaa7e
website_url,crawl_date,ecommerce_platform,best_popularity_rank
https://shop.nijisanji.jp/,2025-06-01,Salesforce Commerce Cloud,10000
https://sprzedajemy.pl/,2025-06-01,Shopify,10000
https://stylo.pk/,2025-06-01,Shopify,10000
https://support.hp.com/,2025-06-01,HCL Commerce,10000
https://tiendamia.com/,2025-06-01,Magento,10000
https://tochka.by/,2025-06-01,1C-Bitrix,10000
https://topgear.nl/,2025-06-01,WooCommerce,10000
https://us.etrade.com/,2025-06-01,Amazon Webstore,10000
https://waltonbd.com/,2025-06-01,OpenCart,10000
https://womensecret.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.24028-net.jp/,2025-06-01,ebisumart,10000
https://www.abc.cl/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.ackermans.co.za/,2025-06-01,Shopify,10000
https://www.alkosto.com/,2025-06-01,SAP Commerce Cloud,10000
https://www.americanas.com.br/,2025-06-01,VTEX,10000
https://www.applebees.com/,2025-06-01,Amazon Webstore,10000
https://www.araujo.com.br/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.arcelik.com.tr/,2025-06-01,SAP Commerce Cloud,10000
https://www.ashleyfurniture.com/,2025-06-01,Amazon Webstore,10000
https://www.ashleyfurniture.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.asics.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.att.com.mx/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.bata.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.belk.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.bestsecret.com/,2025-06-01,SAP Commerce Cloud,10000
https://www.bike-discount.de/,2025-06-01,Shopware,10000
https://www.blancheporte.fr/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.boostmobile.com/,2025-06-01,Amazon Webstore,10000
https://www.boots.com/,2025-06-01,HCL Commerce,10000
https://www.boxofficemojo.com/,2025-06-01,Amazon Webstore,10000
https://www.bricodepot.es/,2025-06-01,Magento,10000
https://www.canyon.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.caratlane.com/,2025-06-01,Magento,10000
https://www.cea.com.br/,2025-06-01,VTEX,10000
https://www.charlestyrwhitt.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.chedraui.com.mx/,2025-06-01,VTEX,10000
https://www.cinemark.com/,2025-06-01,Shopify,10000
https://www.clasohlson.com/,2025-06-01,SAP Commerce Cloud,10000
https://www.coachoutlet.com/,2025-06-01,Amazon Webstore,10000
https://www.coachoutlet.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.converse.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.creativefabrica.com/,2025-06-01,WooCommerce,10000
https://www.desigual.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.digit.in/,2025-06-01,WooCommerce,10000
https://www.dignitymemorial.com/,2025-06-01,Amazon Webstore,10000
https://www.drogariaspacheco.com.br/,2025-06-01,VTEX,10000
https://www.druni.es/,2025-06-01,Magento,10000
https://www.druni.es/,2025-06-01,Hyva Themes,10000
https://www.electrodepot.fr/,2025-06-01,Magento,10000
https://www.elpalaciodehierro.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.eudora.com.br/,2025-06-01,SAP Commerce Cloud,10000
https://www.fahorro.com/,2025-06-01,Magento,10000
https://www.farmacity.com/,2025-06-01,VTEX,10000
https://www.fashionnova.com/,2025-06-01,Shopify,10000
https://www.gamestop.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.gemo.fr/,2025-06-01,Proximis Unified Commerce,10000
https://www.geoguessr.com/,2025-06-01,Amazon Webstore,10000
https://www.gifi.fr/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.giva.co/,2025-06-01,Shopify,10000
https://www.godaddy.com/,2025-06-01,Amazon Webstore,10000
https://www.halfords.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.havan.com.br/,2025-06-01,Magento,10000
https://www.hema.nl/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.hites.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.hoerzu.de/,2025-06-01,Pimcore,10000
https://www.hoka.com/,2025-06-01,Amazon Webstore,10000
https://www.hoka.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.honda.co.jp/,2025-06-01,Amazon Webstore,10000
https://www.hottopic.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.innovasport.com/,2025-06-01,SAP Commerce Cloud,10000
https://www.innvictus.com/,2025-06-01,SAP Commerce Cloud,10000
https://www.intimissimi.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.kmart.com.au/,2025-06-01,HCL Commerce,10000
https://www.koctas.com.tr/,2025-06-01,SAP Commerce Cloud,10000
https://www.lacoste.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.lanebryant.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.libas.in/,2025-06-01,Shopify,10000
https://www.limelight.pk/,2025-06-01,Shopify,10000
https://www.loft.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.m.njcar.ru/,2025-06-01,1C-Bitrix,10000
https://www.max.com/,2025-06-01,Amazon Webstore,10000
https://www.maxbhi.com/,2025-06-01,CS Cart,10000
https://www.melonbooks.co.jp/,2025-06-01,EC-CUBE,10000
https://www.michaelkors.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.michaelkors.com/,2025-06-01,Amazon Webstore,10000
https://www.mohito.com/,2025-06-01,Magento,10000
